;Name of Added Sugar;FDA;USDA;AHA;UCSF;HSPH;Popkin;other;Product Name;URL;PN check-2019-4-1;MonstersFamilyHistory1;Family Name History2;New Family Names;Description 
154;Organic Cane Sugar;;;;X;X;;ASR;365 Everyday Value Organic Whole Wheat Pancakes;https://www.wholefoodsmarket.com/products/365-everyday-value-organic-whole-wheat-pancakes;checked;Cane Monsters;Cane Monsters;Cane Monsters;Cane sugar is extracted from the sugarcane plant and not refined, sometimes in the form of cane juice. This sugar can be found in some organic herbal teas and instant granolas.
155;Organic Cane Syrup;;;;X;;;ASR;Clif Bar Caramel Toffee With Sea Salt Flavor Energy Bar;https://www.clifbar.com/products/clif/clif-bar/caramel-toffee-with-sea-salt;checked;Cane Monsters;Cane Monsters;Cane Monsters;Organic cane syrup is a traditional American sweetener made by the simple concentration of cane juice through long cooking in open kettles. This sugar can be found in some chocolate chip energy bars.
156;Organic Cherry Juice Concentrate;;;;;;X;ASR;Clif Bar Fruit Smoothie Filled Tart Cherry Berry Energy Bar;https://www.clifbar.com/products/clif/fruit-smoothie-filled/tart-cherry-berry;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Organic cherry juice concentrate is made by squeezing juice from the cherry and removing a large percentage of the water, usually by heat. This sugar can be found in organic apple juice.
157;Organic Coconut Blossom Nectar;;;;;;;ASR;Simple Truth Organic Coconut Aminos All Purpose Seasoning Sauce;https://www.simpletruth.com/products/coconut-aminos-all-purpose-seasoning-sauce/;checked;Other Monsters;Other Monsters;Strange Monsters;Coconut blossom nectar is sap of the coconut palm. This sugar can be found in Simple Truth Organic coconut Aminos All Purpose Seasoning Sauce.
158;Organic Coconut Nectar;;;;;;;ASR;Rise Bar Lemon Cashew Protein Bar;https://risebar.com/collections/plant-protein-bars/products/lemon-cashew-protein-bars;checked;Other Monsters;Other Monsters;Strange Monsters;Coconut nectar is made when the coconut tree is tapped and produces a nutrient-rich sap. This sugar can be found in Rise Bar Lemon Cashew Protein Bars.
159;Organic Coconut Palm Nectar;;;;X;;;in ASR;Papa Steve's Apple Cinnamon Pecan Protien Bar;https://papasteves.com/products/apple-cinnamon-pecan-raw-protein-bar;checked;Other Monsters;Other Monsters;Strange Monsters;Coconut palm nectar comes from sap produced from tapping the stalks or stems of flowering coconut blossoms. This sugar can be found in Papa Steve's Apple Cinnamon Pecan Protein Bar.
160;Organic Coconut Palm Sugar;;;;X;;;ASR;Mr. Dewie's Caramel Almond Crunch Ice Cream;https://www.mrdewies.com/menu/;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Coconut palm sugar is produced from the sap of the flower bud stem of the coconut palm. This sugar can be found in Mr. Dewie's Caramel Almond Crunch Ice Cream.
161;Organic Coconut Sugar;;;;;;;ASR;Purely Elizabeth Original Ancient Grain Granola;https://purelyelizabeth.com/product/original-ancient-grain-granola/;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Coconut sugar is the dehydrated sap of the coconut palm. This sugar can be found in Purely Elizabeth Original Ancient Grain Granola.
162;Organic Coconut Syrup (iii);;X;;X;;;ASR;Grandyoats Organic Gluten Free Coconut + Fruit Granola;https://www.grandyoats.com/products/gluten-free-coconut-fruit-granola;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Organic coconut syrup is a low-glycemic, organic sweetener crafted in small artisan batches from coconut flower blossom nectar. This sugar can be found in Grandy Oats Organic Gluten Free Coconut + Fruit Granola.
163;Organic Corn Syrup Solids;;;;;;;in ASR;Newman's Own Organic Peppermint Mints;https://www.newmansown.com/foods/peppermint-mint/;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Corn syrup solids are made from concentrating corn syrup, a liquid sweetener made from corn. This sugar can be found in Newman's Own Organic Peppermint Mints.
164;Organic Date Nectar;;;;;;;;Rebel Kitchen Mylk Organic Coconut Milk Drink with Coffee;https://rebel-kitchen.com/products/big-rebels/;checked;Other Monsters;Other Monsters;Strange Monsters;Date nectar is a whole food sweetener that is another name for date syrup and is made from 100% dates. This sugar can be found in Rebel Kitchen Mylk Organic Coconut Milk Drink with Coffee.
165;Organic Date Sugar;;;;;;;ASR;Dr. Fuhrman Matozest Salt-Free Seasoning;https://www.drfuhrman.com/shop/products/40/matozest-salt-free-seasoning;checked;Sugar Monsters;Sugar Monsters;Obvious Monsters;Organic date sugar is made with dehydrated dates that are ground to resemble granulated sugar. This sugar can be found in Organic MatoZest Salt-free Seasoning.
166;Organic Date Syrup;X;X;X;X;X;;in ASR;Date Lady Chocolate Spread;https://ilovedatelady.com/products/chocolate-spread;checked;Syrup Monsters;Syrup Monsters;Syrup Monsters;Date syrup is a thick, dark brown fruit syrup extracted from dates, also known as date nectar. This sugar can be found in Date Lady's chocolate spread.
167;Organic Dextrose;;;;;;X;ASR;Spun Paradise Watermelon Organic Cotton Candy;https://www.spunparadise.com/organic/organic-watermelon;checked;OSE Monsters;OSE Monsters;OSE Monsters;Organic dextrose is a sweetener that is derived from genetically engineered corn and has a complicated manufacturing process. This sugar can be found in watermelon cotton candy.
168;Organic Dried Cane Sugar;;;;;;;ASR;Nature's Bakery Blueberry Organic Honey & Oat Bars;https://naturesbakery.com/snack-products/organic-honey-oat-bars-blueberry;checked;Cane Monsters;Cane Monsters;Cane Monsters;Dried cane sugar is a dehydrated natural sweetener made from sugar cane. This sugar can be found in Nature's Bakery Blueberry Organic Honey & Oat Bars.
169;Organic Dried Cane Syrup;;;;;;;ASR;Clif Bar Builder's Chocolate Mint Protein Bar;https://www.clifbar.com/products/clif/builder-s/chocolate-mint;checked;Cane Monsters;Cane Monsters;Cane Monsters;Organic dried cane syrup is a less processed variety of the crystalline sucrose most often used as an additive to foods to sweeten or add texture. This sugar can be found in cereal bars and dairy free coconut milk.
170;Organic Dried Cherry Juice Concentrate;;;;;;;ASR;Clif Bar Fruit Smoothie Filled Tart Cherry Berry Energy Bar;https://www.clifbar.com/products/clif/fruit-smoothie-filled/tart-cherry-berry;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Cherry juice is a fruit juice consisting of the juice of cherries. It is then dried and concentrated, removing a large percentage of the water, usually by heat. This sugar can be found in Smoothie Filled Tart Cherry Berry Energy Clif bars. 
171;Organic Dried Cranberry Juice Concentrate;;;;X;;;in ASR;Clif Bar Tart Cherry Berry Fruit Smoothie Filled Energy Bar;https://www.theclymb.com/Product.aspx?l=00190077008700000000&p=CLF01344;checked;Concentrate Monsters;Concentrate Monsters;Concentrate Monsters;Cranberry juice is a fruit juice consisting of the juice of cranberries. It is then dried and concentrated, removing a large percentage of the water, usually by heat. This sugar can be found in energy bars.
172;Organic Evaporated Cane Juice;;;;;;;ASR;Late July Dark Chocolate Covered Peppermint Sandwich Cookie;https://www.wholefoodsmarket.com/products/dark-chocolate-covered-peppermint-sandwich-cookie;find original product;Cane Monsters;Cane Monsters;Cane Monsters;Organic evaporated cane juice is a relatively unrefined sweetener made from the stalks of the sugar cane plant. This sugar is found in cherry pies, curry powder, and granola. 
173;Organic Evaporated Cane Juice Syrup;;;;;;;in ASR;Whole Foods Market Dark Chocolate Covered Peppermint Sandwich Cookie;https://www.wholefoodsmarket.com/products/dark-chocolate-covered-peppermint-sandwich-cookie;find original product;Syrup Monsters;Cane Monsters;Cane Monsters;Organic evaporated cane juice syrup is a completely natural sweetener made from extracting the liquid from sugar cane. This sugar can be found in crackers.
